hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
36, 900.00000, 917.465, 519.203, 445.393, 307.164, 657.918, 359.89
36, 1800.00000, 917.465, 519.203, 445.393, 307.164, 657.918, 359.89
36, 2700.00000, 1042.71, 523.981, 567.384, 309.389, 783.107, 360.713
37, 0.00000, 1042.69, 523.961, 567.391, 309.401, 783.088, 360.691
37, 900.00000, 1042.69, 523.96, 567.391, 309.401, 783.088, 360.691
37, 1800.00000, 1015.26, 517.67, 542.823, 305.432, 757.039, 356.156
37, 2700.00000, 1015.2, 517.61, 542.813, 305.421, 757.013, 356.13
38, 0.00000, 1015.2, 517.61, 542.813, 305.422, 757.012, 356.13
38, 900.00000, 1015.2, 517.61, 542.813, 305.422, 757.012, 356.13
38, 1800.00000, 1015.2, 517.61, 542.813, 305.422, 757.012, 356.13
38, 2700.00000, 1016.36, 525.347, 539.642, 311.01, 755.807, 362.275
39, 0.00000, 1016.39, 525.371, 539.642, 311.01, 755.821, 362.29
39, 900.00000, 1016.39, 525.371, 539.642, 311.009, 755.821, 362.29
39, 1800.00000, 975.211, 529.157, 495.419, 314.7, 712.672, 366.069
39, 2700.00000, 975.169, 529.116, 495.406, 314.687, 712.658, 366.06
40, 0.00000, 975.169, 529.115, 495.406, 314.687, 712.658, 366.06
40, 900.00000, 975.169, 529.115, 495.406, 314.687, 712.658, 366.06
40, 1800.00000, 975.169, 529.115, 495.406, 314.687, 712.658, 366.06
40, 2700.00000, 1000.93, 531.997, 520.096, 316.184, 738.02, 367.882
41, 0.00000, 1000.95, 532.031, 520.1, 316.19, 738.029, 367.889
41, 900.00000, 1000.95, 532.031, 520.1, 316.19, 738.029, 367.889
41, 1800.00000, 1093.05, 507.72, 629.243, 293.906, 839.407, 346.946
41, 2700.00000, 1093.04, 507.723, 629.232, 293.885, 839.416, 346.955
42, 0.00000, 1093.04, 507.723, 629.232, 293.885, 839.416, 346.955
42, 900.00000, 1093.04, 507.723, 629.232, 293.885, 839.416, 346.955
42, 1800.00000, 1093.04, 507.723, 629.232, 293.885, 839.416, 346.955
42, 2700.00000, 1239.35, 505.797, 779.346, 289.185, 988.282, 342.687
43, 0.00000, 1239.34, 505.79, 779.347, 289.185, 988.307, 342.707
43, 900.00000, 1239.34, 505.789, 779.347, 289.185, 988.307, 342.707
43, 1800.00000, 1197.14, 483.229, 748.636, 273.785, 952.17, 325.502
43, 2700.00000, 1197.13, 483.214, 748.638, 273.786, 952.163, 325.497
44, 0.00000, 1197.13, 483.214, 748.638, 273.786, 952.163, 325.497
44, 900.00000, 1197.13, 483.214, 748.638, 273.786, 952.163, 325.497
44, 1800.00000, 1197.13, 483.214, 748.638, 273.786, 952.163, 325.497
44, 2700.00000, 1117.96, 445.902, 688.452, 248.504, 883.095, 297.223
45, 0.00000, 1117.97, 445.91, 688.45, 248.502, 883.095, 297.223
45, 900.00000, 1117.97, 445.91, 688.45, 248.502, 883.095, 297.223
45, 1800.00000, 1276.06, 464.217, 842.284, 259.407, 1039.32, 309.874
45, 2700.00000, 1276.12, 464.257, 842.277, 259.403, 1039.34, 309.885
46, 0.00000, 1276.12, 464.257, 842.277, 259.403, 1039.34, 309.885
46, 900.00000, 1276.12, 464.257, 842.277, 259.403, 1039.34, 309.885
46, 1800.00000, 1276.12, 464.257, 842.277, 259.403, 1039.34, 309.885
46, 2700.00000, 1206.89, 419.147, 796.69, 228.33, 982.694, 275.256
47, 0.00000, 1206.86, 419.125, 796.701, 228.336, 982.672, 275.244
47, 900.00000, 1206.86, 419.125, 796.701, 228.336, 982.672, 275.243
47, 1800.00000, 1101.39, 354.583, 728.434, 182.094, 897.635, 223.65
47, 2700.00000, 1101.43, 354.607, 728.414, 182.082, 897.641, 223.653
48, 0.00000, 1101.43, 354.607, 728.413, 182.082, 897.641, 223.653
